NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                                               MESSAGE
kube-system   2m23s       Normal    Pulling                        pod/kube-dns-77d469c9c9-h2h5f                        Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260412.00_p0@sha256:10a31e4c4338b37a10dbf4dfeaabd58a95b711e59abb740de628c32748184831"
kube-system   2m22s       Normal    Created                        pod/gke-metrics-agent-85s2d                          Container created
gmp-system    2m22s       Normal    Pulling                        pod/collector-2hn2m                                  Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260715.00_p0@sha256:31d0dbad107b5a78e7c824250a9912aec521846b0813c48921d445fb204b197d"
kube-system   2m22s       Normal    Started                        pod/netd-xlp69                                       Container started
kube-system   2m22s       Normal    Started                        pod/gke-metrics-agent-85s2d                          Container started
kube-system   2m21s       Normal    Pulling                        pod/gke-metrics-agent-85s2d                          Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df"
kube-system   2m20s       Normal    Created                        pod/node-local-dns-mrvqm                             Container created
kube-system   2m20s       Normal    Pulled                         pod/node-local-dns-mrvqm                             Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c" in 2.713s (8.182s including waiting). Image size: 3374191 bytes.
kube-system   2m20s       Normal    Started                        pod/node-local-dns-mrvqm                             Container started
kube-system   2m19s       Normal    Pulling                        pod/node-local-dns-mrvqm                             Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-node-cache:1.26.8-gke.5@sha256:b466bc19f519bf5eb7ee278a57d33f9fdf253db8dd4e78677bd7b0373afcfea7"
kube-system   2m13s       Normal    Started                        pod/pdcsi-node-2h6jw                                 Container started
